"time","state","region","num","vol","cat","pop","pden","vote","div"
2017-08-11,"AK","West",0,0,"N",738432,1,58.4,61
2017-08-11,"AL","South",0,0,"N",4858979,95,64.4,50
2017-08-11,"AR","South",0,0,"N",2978204,57,64.3,46
2017-08-11,"AZ","West",0,0,"N",6828065,60,51.9,65
2017-08-11,"CA","West",0,0,"N",39144818,251,33.9,79
2017-08-11,"CO","West",0,0,"N",5456574,52,47.3,52
2017-08-11,"CT","Northeast",0,0,"N",3590886,741,42.9,56
2017-08-11,"DC","South",0,0,"N",672228,11000,4.3,69
2017-08-11,"DE","South",0,0,"N",945934,485,44,56
2017-08-11,"FL","South",0,0,"N",20271272,378,50.6,62
2017-08-11,"GA","South",0,0,"N",10214860,177,52.7,62
2017-08-11,"HI","West",0,0,"N",1431603,222,32.6,83
2017-08-11,"IA","Midwest",0,0,"N",3123899,55,55.1,27
2017-08-11,"ID","West",0,0,"N",1654930,20,68.3,34
2017-08-11,"IL","Midwest",0,0,"N",12859995,231,41,61
2017-08-11,"IN","Midwest",0,0,"N",6619680,184,60.1,37
2017-08-11,"KS","Midwest",0,0,"N",2911641,36,61.1,43
2017-08-11,"KY","South",0,0,"N",4425092,112,65.7,28
2017-08-11,"LA","South",0,0,"N",4670724,108,60.2,55
2017-08-11,"MA","Northeast",0,0,"N",6794422,871,35.3,49
2017-08-11,"MD","South",0,0,"N",6006401,618,36,66
2017-08-11,"ME","Northeast",0,0,"N",1329328,43,48.4,13
2017-08-11,"MI","Midwest",0,0,"N",9922576,175,50.1,42
2017-08-11,"MN","Midwest",0,0,"N",5489594,68,49.2,36
2017-08-11,"MO","Midwest",0,0,"N",6083672,88,59.8,36
2017-08-11,"MS","South",0,0,"N",2992333,63,59.1,54
2017-08-11,"MT","West",0,0,"N",1032949,7,61.1,26
2017-08-11,"NC","South",0,0,"N",8382993,212,51.9,56
2017-08-11,"ND","Midwest",0,0,"N",756927,10,69.8,27
2017-08-11,"NE","Midwest",0,0,"N",1896190,24,63.5,36
2017-08-11,"NH","Northeast",0,0,"N",1330608,148,49.8,18
2017-08-11,"NJ","Northeast",0,0,"N",8958013,1218,42.7,67
2017-08-11,"NM","West",0,0,"N",2085109,17,45.3,73
2017-08-11,"NV","West",0,0,"N",2890845,26,48.7,72
2017-08-11,"NY","Northeast",0,0,"N",19795791,420,38.2,70
2017-08-11,"OH","Midwest",0,0,"N",11613423,284,54.3,36
2017-08-11,"OK","South",0,0,"N",3911338,57,69.3,56
2017-08-11,"OR","West",0,0,"N",4028977,41,43.8,43
2017-08-11,"PA","Northeast",0,0,"N",12802503,286,50.4,41
2017-08-11,"RI","Northeast",0,0,"N",1056298,1021,41.7,51
2017-08-11,"SC","South",0,0,"N",4896146,162,57.5,53
2017-08-11,"SD","Midwest",0,0,"N",858469,11,66,33
2017-08-11,"TN","South",0,0,"N",6600299,160,63.6,43
2017-08-11,"TX","South",0,0,"N",27469114,105,54.7,70
2017-08-11,"UT","West",0,0,"N",2995919,36,62.4,42
2017-08-11,"VA","South",1,20,"S",10042802,206,47.2,58
2017-08-11,"VT","Northeast",0,0,"N",626042,67,34.8,13
2017-08-11,"WA","West",0,0,"N",7170351,107,41.2,53
2017-08-11,"WI","Midwest",0,0,"N",5771337,106,50.4,35
2017-08-11,"WV","South",0,0,"N",1844128,76,72.2,15
2017-08-11,"WY","West",0,0,"N",586107,6,75.7,31
2017-08-12,"AK","West",0,0,"N",738432,1,58.4,61
2017-08-12,"AL","South",0,0,"N",4858979,95,64.4,50
2017-08-12,"AR","South",0,0,"N",2978204,57,64.3,46
2017-08-12,"AZ","West",1,16,"S",6828065,60,51.9,65
2017-08-12,"CA","West",7,1040,"L",39144818,251,33.9,79
2017-08-12,"CO","West",0,0,"N",5456574,52,47.3,52
2017-08-12,"CT","Northeast",0,0,"N",3590886,741,42.9,56
2017-08-12,"DC","South",0,0,"N",672228,11000,4.3,69
2017-08-12,"DE","South",0,0,"N",945934,485,44,56
2017-08-12,"FL","South",1,30,"S",20271272,378,50.6,62
2017-08-12,"GA","South",1,1000,"L",10214860,177,52.7,62
2017-08-12,"HI","West",0,0,"N",1431603,222,32.6,83
2017-08-12,"IA","Midwest",0,0,"N",3123899,55,55.1,27
2017-08-12,"ID","West",0,0,"N",1654930,20,68.3,34
2017-08-12,"IL","Midwest",0,0,"N",12859995,231,41,61
2017-08-12,"IN","Midwest",0,0,"N",6619680,184,60.1,37
2017-08-12,"KS","Midwest",0,0,"N",2911641,36,61.1,43
2017-08-12,"KY","South",0,0,"N",4425092,112,65.7,28
2017-08-12,"LA","South",1,10,"S",4670724,108,60.2,55
2017-08-12,"MA","Northeast",1,300,"L",6794422,871,35.3,49
2017-08-12,"MD","South",1,40,"S",6006401,618,36,66
2017-08-12,"ME","Northeast",1,50,"S",1329328,43,48.4,13
2017-08-12,"MI","Midwest",1,10,"S",9922576,175,50.1,42
2017-08-12,"MN","Midwest",2,35,"S",5489594,68,49.2,36
2017-08-12,"MO","Midwest",2,70,"S",6083672,88,59.8,36
2017-08-12,"MS","South",0,0,"N",2992333,63,59.1,54
2017-08-12,"MT","West",0,0,"N",1032949,7,61.1,26
2017-08-12,"NC","South",0,0,"N",8382993,212,51.9,56
2017-08-12,"ND","Midwest",0,0,"N",756927,10,69.8,27
2017-08-12,"NE","Midwest",0,0,"N",1896190,24,63.5,36
