"time","state","region","num","vol","cat","pop","pden","vote","div"
"2014-11-11","AK","West",0,0,"N",738432,1,58.4,61
"2014-11-11","AL","South",0,0,"N",4858979,95,64.4,50
"2014-11-11","AR","South",0,0,"N",2978204,57,64.3,46
"2014-11-11","AZ","West",0,0,"N",6828065,60,51.9,65
"2014-11-11","CA","West",0,0,"N",39144818,251,33.9,79
"2014-11-11","CO","West",0,0,"N",5456574,52,47.3,52
"2014-11-11","CT","Northeast",0,0,"N",3590886,741,42.9,56
"2014-11-11","DC","South",0,0,"N",672228,11000,4.3,69
"2014-11-11","DE","South",0,0,"N",945934,485,44.0,56
"2014-11-11","FL","South",0,0,"N",20271272,378,50.6,62
"2014-11-11","GA","South",0,0,"N",10214860,177,52.7,62
"2014-11-11","HI","West",0,0,"N",1431603,222,32.6,83
"2014-11-11","IA","Midwest",0,0,"N",3123899,55,55.1,27
"2014-11-11","ID","West",0,0,"N",1654930,20,68.3,34
"2014-11-11","IL","Midwest",0,0,"N",12859995,231,41.0,61
"2014-11-11","IN","Midwest",0,0,"N",6619680,184,60.1,37
"2014-11-11","KS","Midwest",0,0,"N",2911641,36,61.1,43
"2014-11-11","KY","South",0,0,"N",4425092,112,65.7,28
"2014-11-11","LA","South",0,0,"N",4670724,108,60.2,55
"2014-11-11","MA","Northeast",0,0,"N",6794422,871,35.3,49
"2014-11-11","MD","South",0,0,"N",6006401,618,36.0,66
"2014-11-11","ME","Northeast",0,0,"N",1329328,43,48.4,13
"2014-11-11","MI","Midwest",0,0,"N",9922576,175,50.1,42
"2014-11-11","MN","Midwest",0,0,"N",5489594,68,49.2,36
"2014-11-11","MO","Midwest",0,0,"N",6083672,88,59.8,36
"2014-11-11","MS","South",0,0,"N",2992333,63,59.1,54
"2014-11-11","MT","West",0,0,"N",1032949,7,61.1,26
"2014-11-11","NC","South",0,0,"N",8382993,212,51.9,56
"2014-11-11","ND","Midwest",0,0,"N",756927,10,69.8,27
"2014-11-11","NE","Midwest",0,0,"N",1896190,24,63.5,36
"2014-11-11","NH","Northeast",0,0,"N",1330608,148,49.8,18
"2014-11-11","NJ","Northeast",0,0,"N",8958013,1218,42.7,67
"2014-11-11","NM","West",0,0,"N",2085109,17,45.3,73
"2014-11-11","NV","West",0,0,"N",2890845,26,48.7,72
